sentence_a,sentence_b,label
He bought a new smartphone yesterday.,They participated in the school exhibition.,1
The computer crashed during the meeting.,The robot performed tasks automatically.,0
She attended a workshop on AI.,He scored the highest marks in science.,1
He developed a mobile application.,He bought a new smartphone yesterday.,0
The library was full of readers.,The player trained hard every day.,1
They shared a plate of noodles.,She baked a chocolate cake.,0
They enjoyed dinner at the restaurant.,The computer crashed during the meeting.,1
She baked a chocolate cake.,They shared a plate of noodles.,0
The coach praised the best performer.,They explored the ancient ruins.,1
They practiced shooting before the game.,He missed the penalty kick narrowly.,0
The train arrived at the station on time.,They won the championship trophy.,1
They participated in the school exhibition.,She solved all the math problems correctly.,0
They participated in the school exhibition.,The dessert was sweet and creamy.,1
It snowed for three days continuously.,Thunder and lightning scared the children.,0
He scored the highest marks in science.,They practiced shooting before the game.,1
She traveled to Japan last summer.,The train arrived at the station on time.,0
He tried sushi for the first time.,She played tennis with great skill.,1
They visited the Eiffel Tower in Paris.,She packed her bags for the vacation.,0
The dessert was sweet and creamy.,She studied all night for her exams.,1
It rained heavily throughout the night.,It snowed for three days continuously.,0
Thunder and lightning scared the children.,The dessert was sweet and creamy.,1
The weather forecast predicted a storm.,Thunder and lightning scared the children.,0
The coach praised the best performer.,She learned how to code in Python.,1
He tried sushi for the first time.,She baked a chocolate cake.,0
They enjoyed dinner at the restaurant.,The students attended the lecture.,1
She attended a workshop on AI.,She learned how to code in Python.,0
The principal addressed the assembly.,The soup was warm and delicious.,1
She wrote an essay on climate change.,He scored the highest marks in science.,0
The temperature dropped suddenly.,She packed her bags for the vacation.,1
He ordered a burger with fries.,He tried sushi for the first time.,0
They discussed cybersecurity issues.,The coach praised the best performer.,1
The sun shone brightly this morning.,A rainbow appeared after the rain.,0
The students attended the lecture.,The computer crashed during the meeting.,1
She studied all night for her exams.,The principal addressed the assembly.,0
A strong wind blew across the field.,They visited the Eiffel Tower in Paris.,1
She traveled to Japan last summer.,She packed her bags for the vacation.,0
He bought a new smartphone yesterday.,The soup was warm and delicious.,1
She solved all the math problems correctly.,The students attended the lecture.,0
The computer crashed during the meeting.,It rained heavily throughout the night.,1
He kicked the football into the goal.,The player trained hard every day.,0
He clicked pictures at the beach.,He developed a mobile application.,1
The website was built using React.,He bought a new smartphone yesterday.,0
He clicked pictures at the beach.,He submitted his project on time.,1
The library was full of readers.,He scored the highest marks in science.,0
The computer crashed during the meeting.,The sky was clear and blue.,1
He developed a mobile application.,She attended a workshop on AI.,0
The principal addressed the assembly.,The robot performed tasks automatically.,1
The computer crashed during the meeting.,The robot performed tasks automatically.,0
The students attended the lecture.,The weather forecast predicted a storm.,1
The soup was warm and delicious.,She added extra cheese to the pizza.,0
The library was full of readers.,They installed the latest software update.,1
He tried sushi for the first time.,He made a fresh fruit salad.,0
She added extra cheese to the pizza.,The sky was clear and blue.,1
She wrote an essay on climate change.,He scored the highest marks in science.,0
He submitted his project on time.,The weather forecast predicted a storm.,1
She solved all the math problems correctly.,The library was full of readers.,0
The students attended the lecture.,He clicked pictures at the beach.,1
She attended a workshop on AI.,They discussed cybersecurity issues.,0
He bought a new smartphone yesterday.,The principal addressed the assembly.,1
Thunder and lightning scared the children.,It snowed for three days continuously.,0
He ordered a burger with fries.,She learned how to code in Python.,1
She packed her bags for the vacation.,He booked a flight to New York.,0
Dark clouds gathered above the city.,She traveled to Japan last summer.,1
The dessert was sweet and creamy.,He made a fresh fruit salad.,0
He developed a mobile application.,She baked a chocolate cake.,1
The library was full of readers.,She studied all night for her exams.,0
The principal addressed the assembly.,They enjoyed the mountain view from the hotel.,1
They explored the ancient ruins.,They visited the Eiffel Tower in Paris.,0
He bought a new smartphone yesterday.,He kicked the football into the goal.,1
He clicked pictures at the beach.,He walked through the narrow streets of Venice.,0
The library was full of readers.,He developed a mobile application.,1
She baked a chocolate cake.,He made a fresh fruit salad.,0
They explored the ancient ruins.,He developed a mobile application.,1
They shared a plate of noodles.,The soup was warm and delicious.,0
He scored the highest marks in science.,The train arrived at the station on time.,1
She traveled to Japan last summer.,She packed her bags for the vacation.,0
The temperature dropped suddenly.,She learned how to code in Python.,1
The library was full of readers.,She wrote an essay on climate change.,0
He fixed the bug in the program.,She added extra cheese to the pizza.,1
She added extra cheese to the pizza.,They enjoyed dinner at the restaurant.,0
They enjoyed the mountain view from the hotel.,He scored the highest marks in science.,1
It snowed for three days continuously.,The weather forecast predicted a storm.,0
He ordered a burger with fries.,The library was full of readers.,1
